timestamp,run_id,client_id,client_round,train-loss,train-accuracy,val-loss,val-accuracy,local-test-loss,local-test-accuracy,ga_best_fitness,batch_size,optimizer,lr,weight_decay,momentum,num-examples,ga_ran,ga_time_s,local_train_time_s,total_visit_time_s
2026-05-19T01:15:19,20260519_010824,1,1,1.2726618048203877,0.7271773680864589,0.4726995763799292,0.836807320793086,1.5119489154815673,0.617,0.0,64,adam,0.0005,0.0,0.95,7865,0,0.0,109.788,111.853
2026-05-19T01:15:31,20260519_010824,3,2,1.3568317831525443,0.673161196081801,0.6573690518480806,0.768384879725086,1.881024824142456,0.52,0.0,64,adam,0.0005,0.0,0.95,5819,0,0.0,82.265,84.232
2026-05-19T01:15:57,20260519_010824,9,1,1.6464260048894115,0.6294560540872772,0.9415206736370152,0.6658476658476659,2.031864807128906,0.429,0.0,64,adam,0.0005,0.0,0.95,1627,0,0.0,24.497,25.946
2026-05-19T01:16:10,20260519_010824,4,2,1.492663170446698,0.6489261072779879,0.7547176502565472,0.7473309608540926,1.6916188659667968,0.491,0.0,64,adam,0.0005,0.0,0.95,4493,0,0.0,49.202,50.418
2026-05-19T01:16:54,20260519_010824,2,2,1.8418892898763235,0.663548197492163,0.5816459412858778,0.8260188087774295,1.6209853458404542,0.563,0.0,128,adam,0.001,0.0001,0.9,2552,0,0.0,36.558,37.951
2026-05-19T01:17:00,20260519_010824,0,2,1.8969844821420199,0.5902240490006447,0.8028780185070234,0.7358247422680413,1.178543553352356,0.594,0.0,128,adam,0.001,0.0001,0.9,3102,0,0.0,42.268,43.824
2026-05-19T01:18:04,20260519_010824,5,1,1.4564018369256295,0.7211336599020294,0.5393026604581235,0.8050373134328358,1.9169736080169677,0.488,0.0,128,adam,0.001,0.0001,0.9,4287,0,0.0,61.278,63.187
2026-05-19T01:18:16,20260519_010824,3,3,1.4682006688616,0.6794981955662485,0.6574086193776213,0.7690721649484537,1.6361689147949219,0.558,0.0,128,adam,0.001,0.0001,0.9,5819,0,0.0,78.685,80.8
2026-05-19T01:18:41,20260519_010824,7,1,1.6233225532728368,0.6468231088560885,0.6707683590150648,0.7585253456221198,1.3805840129852296,0.588,0.0,128,adam,0.001,0.0001,0.9,4336,0,0.0,35.008,36.302
2026-05-19T01:19:34,20260519_010824,0,3,1.721995339297157,0.6294326241134752,0.7047831139613673,0.7615979381443299,1.1270153532028198,0.623,0.0,128,adam,0.001,0.0001,0.9,3102,0,0.0,45.014,46.58
2026-05-19T01:20:37,20260519_010824,1,1,1.1997580206193366,0.7646853146853146,0.42557553899245754,0.8612099644128114,1.367901819229126,0.638,0.0,128,adam,0.001,0.0001,0.9,7865,0,0.0,108.181,110.228
2026-05-19T01:20:57,20260519_010824,3,2,1.313884382165775,0.7133742911153119,0.6136896850726858,0.7835051546391752,1.46070569896698,0.586,0.0,128,adam,0.001,0.0001,0.9,5819,0,0.0,81.009,83.13
2026-05-19T01:21:39,20260519_010824,5,1,1.2839547208372823,0.7456846279449498,0.5021630650136009,0.8199626865671642,1.8888685054779053,0.496,0.0,128,adam,0.001,0.0001,0.9,4287,0,0.0,59.215,61.119
2026-05-19T01:21:49,20260519_010824,7,2,1.437822526918786,0.6928044280442804,0.5912591055241598,0.783410138248848,1.2693231811523438,0.62,0.0,128,adam,0.001,0.0001,0.9,4336,0,0.0,50.474,51.765
2026-05-19T01:22:34,20260519_010824,2,2,1.2546272666243177,0.7668495297805643,0.5349689684691474,0.8244514106583072,1.5369661893844604,0.585,0.0,128,radam,0.01,0.0001,0.9,2552,0,0.0,36.548,38.027
2026-05-19T01:22:40,20260519_010824,0,2,1.677601081245296,0.6325354609929078,0.740640250677915,0.7525773195876289,1.0990561246871948,0.611,0.0,128,radam,0.01,0.0001,0.9,3102,0,0.0,42.823,44.383
2026-05-19T01:23:26,20260519_010824,6,2,1.4230953313887413,0.7083333333333334,0.6750102662664699,0.7598425196850394,1.4992068786621093,0.513,0.0,128,radam,0.01,0.0001,0.9,3045,0,0.0,43.901,45.507
2026-05-19T01:23:34,20260519_010824,5,2,1.428308892836097,0.7371121996734313,0.5694809035578771,0.8078358208955224,1.7270575532913208,0.517,0.0,128,radam,0.01,0.0001,0.9,4287,0,0.0,57.838,59.746
2026-05-19T01:23:51,20260519_010824,8,1,1.346091405777358,0.7334059233449477,0.6150662442435794,0.7924791086350975,1.8402850198745728,0.517,0.0,128,radam,0.01,0.0001,0.9,2870,0,0.0,23.772,24.996
2026-05-19T01:24:36,20260519_010824,2,3,0.8654082643107561,0.8187695924764891,0.4542607485687471,0.8557993730407524,1.4383808975219727,0.617,0.0,64,adam,0.0005,0.0001,0.95,2552,0,0.0,37.434,38.821
2026-05-19T01:25:21,20260519_010824,3,4,0.9690425783808052,0.7597525347997938,0.5173353864155275,0.8109965635738832,1.294929955482483,0.623,0.0,64,adam,0.0005,0.0001,0.95,5819,0,0.0,81.494,83.306
2026-05-19T01:25:42,20260519_010824,4,3,1.106076246298702,0.7289951034943245,0.583072951255744,0.8033807829181495,1.101035662651062,0.629,0.0,64,adam,0.0005,0.0001,0.95,4493,0,0.0,63.454,65.259
2026-05-19T01:26:06,20260519_010824,6,3,0.997263899149468,0.7629310344827587,0.5609801416322002,0.8202099737532809,1.2669428586959839,0.609,0.0,64,adam,0.0005,0.0001,0.95,3045,0,0.0,43.187,44.733
2026-05-19T01:26:15,20260519_010824,8,1,0.9210912464180059,0.7912891986062718,0.4468670183569608,0.850974930362117,1.5971775827407837,0.585,0.0,64,adam,0.0005,0.0001,0.95,2870,0,0.0,32.09,33.037
2026-05-19T01:26:59,20260519_010824,2,4,0.40362860825274804,0.8718162225705329,0.46079038284415363,0.8495297805642633,1.121340189933777,0.645,0.0,128,sgd,0.001,0.0001,0.7,2552,0,0.0,36.432,37.898
2026-05-19T01:28:03,20260519_010824,7,3,0.5244383969210171,0.8212926660516605,0.5305881909785732,0.8202764976958525,1.0396755299568177,0.663,0.0,128,sgd,0.001,0.0001,0.7,4336,0,0.0,60.821,62.734
2026-05-19T01:28:08,20260519_010824,1,2,0.3557923586820048,0.8846948506039415,0.36175601706325433,0.884087442806304,1.1540284366607667,0.678,0.0,128,sgd,0.001,0.0001,0.7,7865,0,0.0,104.664,106.682
2026-05-19T01:28:34,20260519_010824,9,2,0.6843585491056778,0.776659496004917,0.666772237720302,0.7567567567567568,0.9863249769210816,0.668,0.0,128,sgd,0.001,0.0001,0.7,1627,0,0.0,23.535,25.121
2026-05-19T01:28:38,20260519_010824,8,2,0.43097805476874007,0.8554442508710801,0.43636960189654633,0.8495821727019499,1.1754721622467041,0.661,0.0,128,sgd,0.001,0.0001,0.7,2870,0,0.0,33.93,35.13
2026-05-19T01:29:23,20260519_010824,2,5,0.8181296492865466,0.8286148119122257,0.43490419912861433,0.8620689655172413,1.350200813293457,0.637,0.0,64,adam,0.0005,0.0001,0.95,2552,0,0.0,37.041,38.254
2026-05-19T01:29:29,20260519_010824,6,4,0.9629937984281769,0.7828407224958949,0.5290407236479712,0.8293963254593176,1.1658454999923706,0.63,0.0,64,adam,0.0005,0.0001,0.95,3045,0,0.0,42.468,43.933
2026-05-19T01:30:13,20260519_010824,8,2,0.8556453562675869,0.8115418118466899,0.42810607603997575,0.8551532033426184,1.5192678289413453,0.61,0.0,64,adam,0.0005,0.0001,0.95,2870,0,0.0,41.978,43.595
2026-05-19T01:30:24,20260519_010824,7,4,0.9645665072701954,0.7728897601476015,0.48505909997746693,0.8377880184331797,1.187870551109314,0.644,0.0,64,adam,0.0005,0.0001,0.95,4336,0,0.0,58.991,60.776
