timestamp,run_id,client_id,client_round,candidate_index,rung,fitness,batch_size,optimizer,lr,weight_decay,momentum
2026-05-27T18:32:20,20260527_182957,1,1,3,full,0.5853917330379792,128,lion,0.003,0.0,0.0
2026-05-27T18:32:26,20260527_182957,6,2,0,full,0.35528614061364294,128,sgd,0.0005,0.001,0.5
2026-05-27T18:32:26,20260527_182957,6,2,1,full,0.6577761442176702,64,adam,0.003,0.0,0.0
2026-05-27T18:32:26,20260527_182957,6,2,2,full,0.6516014651155129,64,lion,0.005,0.0001,0.0
2026-05-27T18:32:26,20260527_182957,6,2,3,full,0.6614425907844392,64,adam,0.003,0.001,0.0
2026-05-27T18:32:33,20260527_182957,8,2,0,full,0.5893513591382527,128,adamw,0.001,0.001,0.0
2026-05-27T18:32:33,20260527_182957,8,2,1,full,0.6228335763011454,64,adamw,0.005,0.001,0.0
2026-05-27T18:32:33,20260527_182957,8,2,2,full,0.6315139301662138,128,radam,0.01,0.0001,0.0
2026-05-27T18:32:33,20260527_182957,8,2,3,full,0.5501152286383014,128,radam,0.0005,0.0001,0.0
2026-05-27T18:32:36,20260527_182957,0,1,0,full,0.5966680622276591,64,radam,0.01,0.0001,0.0
2026-05-27T18:32:36,20260527_182957,0,1,1,full,0.5676789451743883,128,adamw,0.003,1e-05,0.0
2026-05-27T18:32:36,20260527_182957,0,1,2,full,0.5853873785412854,64,sgd,0.01,0.0001,0.7
2026-05-27T18:32:40,20260527_182957,9,2,0,full,0.6005904294346109,128,adamw,0.003,0.001,0.0
2026-05-27T18:32:40,20260527_182957,9,2,1,full,0.6006215714547668,64,sgd,0.005,0.0001,0.95
2026-05-27T18:32:40,20260527_182957,9,2,2,full,0.5949743956459842,128,adamw,0.005,0.0,0.0
2026-05-27T18:32:40,20260527_182957,9,2,3,full,0.6061997797203104,128,radam,0.01,0.001,0.0
2026-05-27T18:33:05,20260527_182957,0,2,0,full,0.5966680622276591,64,radam,0.01,0.0001,0.0
2026-05-27T18:33:05,20260527_182957,0,2,1,full,0.5676789451743883,128,adamw,0.003,1e-05,0.0
2026-05-27T18:33:05,20260527_182957,0,2,2,full,0.5853873785412854,64,sgd,0.01,0.0001,0.7
2026-05-27T18:33:05,20260527_182957,0,2,3,full,0.6120541858387911,128,adamw,0.01,0.0,0.0
2026-05-27T18:33:20,20260527_182957,2,1,0,full,0.6273270163571409,128,lion,0.001,0.001,0.0
2026-05-27T18:33:20,20260527_182957,2,1,1,full,0.642345792905559,64,adamw,0.001,1e-05,0.0
2026-05-27T18:33:20,20260527_182957,2,1,2,full,0.6411215609072467,128,radam,0.005,0.0001,0.0
2026-05-27T18:33:20,20260527_182957,2,1,3,full,0.5968769205639806,64,lion,0.01,0.0,0.0
2026-05-27T18:33:26,20260527_182957,6,3,0,full,0.35528614061364294,128,sgd,0.0005,0.001,0.5
2026-05-27T18:33:26,20260527_182957,6,3,1,full,0.6577761442176702,64,adam,0.003,0.0,0.0
2026-05-27T18:33:26,20260527_182957,6,3,2,full,0.6516014651155129,64,lion,0.005,0.0001,0.0
2026-05-27T18:33:26,20260527_182957,6,3,3,full,0.6614425907844392,64,adam,0.003,0.001,0.0
2026-05-27T18:33:32,20260527_182957,8,3,0,full,0.5893513591382527,128,adamw,0.001,0.001,0.0
2026-05-27T18:33:32,20260527_182957,8,3,1,full,0.6228335763011454,64,adamw,0.005,0.001,0.0
2026-05-27T18:33:32,20260527_182957,8,3,2,full,0.6315139301662138,128,radam,0.01,0.0001,0.0
2026-05-27T18:33:32,20260527_182957,8,3,3,full,0.5501152286383014,128,radam,0.0005,0.0001,0.0
2026-05-27T18:34:13,20260527_182957,5,1,0,full,0.5390416944746586,128,adamw,0.01,0.0,0.0
2026-05-27T18:34:13,20260527_182957,5,1,1,full,0.5773106318403305,128,lion,0.0005,0.0001,0.0
2026-05-27T18:34:13,20260527_182957,5,1,2,full,0.5473889928896727,64,adamw,0.005,0.0,0.0
2026-05-27T18:34:13,20260527_182957,5,1,3,full,0.5413443391571511,128,adamw,0.001,0.001,0.0
2026-05-27T18:34:27,20260527_182957,3,2,0,full,0.5564647741396775,128,adamw,0.005,0.0,0.0
2026-05-27T18:34:27,20260527_182957,3,2,1,full,0.5771164502415013,128,adam,0.005,0.0,0.0
2026-05-27T18:34:27,20260527_182957,3,2,2,full,0.5864946537447194,64,sgd,0.003,0.001,0.95
2026-05-27T18:34:27,20260527_182957,3,2,3,full,0.5544289157789858,128,radam,0.005,0.0,0.0
2026-05-27T18:34:35,20260527_182957,5,2,0,full,0.5390416944746586,128,adamw,0.01,0.0,0.0
2026-05-27T18:34:35,20260527_182957,5,2,1,full,0.5773106318403305,128,lion,0.0005,0.0001,0.0
